Type,SKU,Name,Short description,Description,Weight (lbs),Regular price
simple,SERF1554-55P-12-13-460,SERF1554-55P-12-13-460,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 9'-7""",5.175,11.64375
simple,SERF1554-55P-12-13-464,SERF1554-55P-12-13-464,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 9'-8""",5.22,11.745
simple,SERF1554-55P-12-13-468,SERF1554-55P-12-13-468,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 9'-9""",5.265,11.84625
simple,SERF1554-55P-12-13-472,SERF1554-55P-12-13-472,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 9'-10""",5.31,11.9475
simple,SERF1554-55P-12-13-476,SERF1554-55P-12-13-476,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 9'-11""",5.355,12.04875
simple,SERF1554-55P-12-13-480,SERF1554-55P-12-13-480,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 10'",5.4,12.15
simple,SERF1554-55P-12-13-484,SERF1554-55P-12-13-484,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 10'-1""",5.445,12.25125
simple,SERF1554-55P-12-13-488,SERF1554-55P-12-13-488,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 10'-2""",5.49,12.3525
simple,SERF1554-55P-12-13-492,SERF1554-55P-12-13-492,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 10'-3""",5.535,12.45375
simple,SERF1554-55P-12-13-496,SERF1554-55P-12-13-496,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 10'-4""",5.58,12.555
simple,SERF1554-55P-12-13-500,SERF1554-55P-12-13-500,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 10'-5""",5.625,12.65625
simple,SERF1554-55P-12-13-504,SERF1554-55P-12-13-504,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 10'-6""",5.67,12.7575
simple,SERF1554-55P-12-13-508,SERF1554-55P-12-13-508,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 10'-7""",5.715,12.85875
simple,SERF1554-55P-12-13-512,SERF1554-55P-12-13-512,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 10'-8""",5.76,12.96
simple,SERF1554-55P-12-13-516,SERF1554-55P-12-13-516,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 10'-9""",5.805,13.06125
simple,SERF1554-55P-12-13-520,SERF1554-55P-12-13-520,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 10'-10""",5.85,13.1625
simple,SERF1554-55P-12-13-524,SERF1554-55P-12-13-524,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 10'-11""",5.895,13.26375
simple,SERF1554-55P-12-13-528,SERF1554-55P-12-13-528,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 11'",5.94,13.365
simple,SERF1554-55P-12-13-532,SERF1554-55P-12-13-532,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 11'-1""",5.985,13.46625
simple,SERF1554-55P-12-13-536,SERF1554-55P-12-13-536,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 11'-2""",6.03,13.5675
simple,SERF1554-55P-12-13-540,SERF1554-55P-12-13-540,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 11'-3""",6.075,13.66875
simple,SERF1554-55P-12-13-544,SERF1554-55P-12-13-544,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 11'-4""",6.12,13.77
simple,SERF1554-55P-12-13-548,SERF1554-55P-12-13-548,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 11'-5""",6.165,13.87125
simple,SERF1554-55P-12-13-552,SERF1554-55P-12-13-552,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 11'-6""",6.21,13.9725
simple,SERF1554-55P-12-13-556,SERF1554-55P-12-13-556,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 11'-7""",6.255,14.07375
simple,SERF1554-55P-12-13-560,SERF1554-55P-12-13-560,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 11'-8""",6.3,14.175
simple,SERF1554-55P-12-13-564,SERF1554-55P-12-13-564,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 11'-9""",6.345,14.27625
simple,SERF1554-55P-12-13-568,SERF1554-55P-12-13-568,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 11'-10""",6.39,14.3775
simple,SERF1554-55P-12-13-572,SERF1554-55P-12-13-572,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 11'-11""",6.435,14.47875
simple,SERF1554-55P-12-13-576,SERF1554-55P-12-13-576,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 12'",6.48,14.58
